year,week,date,tested,positive,season_start,season_end,season,positive_smooth
2015,40,2015-09-28,6,14,2015,2016,2015-2016,NA
2015,41,2015-10-05,3,31,2015,2016,2015-2016,21
2015,42,2015-10-12,28,18,2015,2016,2015-2016,21.666666666666668
2015,43,2015-10-19,48,16,2015,2016,2015-2016,18.333333333333332
2015,44,2015-10-26,32,21,2015,2016,2015-2016,19
2015,45,2015-11-02,40,20,2015,2016,2015-2016,21.333333333333332
2015,46,2015-11-09,69,23,2015,2016,2015-2016,22.333333333333332
2015,47,2015-11-16,70,24,2015,2016,2015-2016,23.333333333333332
2015,48,2015-11-23,66,23,2015,2016,2015-2016,29
2015,49,2015-11-30,77,40,2015,2016,2015-2016,33.333333333333336
2015,50,2015-12-07,80,37,2015,2016,2015-2016,58.333333333333336
2015,51,2015-12-14,103,98,2015,2016,2015-2016,81
2015,52,2015-12-21,79,108,2015,2016,2015-2016,112.33333333333333
2015,53,2015-12-28,51,131,2015,2016,2015-2016,158
2016,1,2016-01-04,130,235,2015,2016,2015-2016,190
2016,2,2016-01-11,109,204,2015,2016,2015-2016,232.66666666666666
2016,3,2016-01-18,130,259,2015,2016,2015-2016,316
2016,4,2016-01-25,150,485,2015,2016,2015-2016,430.3333333333333
2016,5,2016-02-01,168,547,2015,2016,2015-2016,521
2016,6,2016-02-08,164,531,2015,2016,2015-2016,556
2016,7,2016-02-15,126,590,2015,2016,2015-2016,577.6666666666666
2016,8,2016-02-22,154,612,2015,2016,2015-2016,626.3333333333334
2016,9,2016-02-29,168,677,2015,2016,2015-2016,674.6666666666666
2016,10,2016-03-07,152,735,2015,2016,2015-2016,804
2016,11,2016-03-14,171,1000,2015,2016,2015-2016,840.3333333333334
2016,12,2016-03-21,112,786,2015,2016,2015-2016,842.3333333333334
2016,13,2016-03-28,100,741,2015,2016,2015-2016,682
2016,14,2016-04-04,81,519,2015,2016,2015-2016,563.6666666666666
2016,15,2016-04-11,70,431,2015,2016,2015-2016,394
2016,16,2016-04-18,47,232,2015,2016,2015-2016,285
2016,17,2016-04-25,30,192,2015,2016,2015-2016,194.33333333333334
2016,18,2016-05-02,13,159,2015,2016,2015-2016,155
2016,19,2016-05-09,13,114,2015,2016,2015-2016,112.33333333333333
2016,20,2016-05-16,5,64,2015,2016,2015-2016,NA
2016,40,2016-10-03,39,14,2016,2017,2016-2017,NA
2016,41,2016-10-10,64,10,2016,2017,2016-2017,12.666666666666666
2016,42,2016-10-17,67,14,2016,2017,2016-2017,11.333333333333334
2016,43,2016-10-24,67,10,2016,2017,2016-2017,15
2016,44,2016-10-31,68,21,2016,2017,2016-2017,17.666666666666668
2016,45,2016-11-07,65,22,2016,2017,2016-2017,31
2016,46,2016-11-14,73,50,2016,2017,2016-2017,33
2016,47,2016-11-21,82,27,2016,2017,2016-2017,46.666666666666664
2016,48,2016-11-28,78,63,2016,2017,2016-2017,79
2016,49,2016-12-05,99,147,2016,2017,2016-2017,151
2016,50,2016-12-12,136,243,2016,2017,2016-2017,268
2016,51,2016-12-19,148,414,2016,2017,2016-2017,366
2016,52,2016-12-26,60,441,2016,2017,2016-2017,514.3333333333334
2017,1,2017-01-02,99,688,2016,2017,2016-2017,692.6666666666666
2017,2,2017-01-09,145,949,2016,2017,2016-2017,788.3333333333334
2017,3,2017-01-16,126,728,2016,2017,2016-2017,835
2017,4,2017-01-23,106,828,2016,2017,2016-2017,807.3333333333334
2017,5,2017-01-30,108,866,2016,2017,2016-2017,765.3333333333334
2017,6,2017-02-06,82,602,2016,2017,2016-2017,622.6666666666666
2017,7,2017-02-13,60,400,2016,2017,2016-2017,486.3333333333333
2017,8,2017-02-20,51,457,2016,2017,2016-2017,395.3333333333333
2017,9,2017-02-27,28,329,2016,2017,2016-2017,317.3333333333333
2017,10,2017-03-06,42,166,2016,2017,2016-2017,197.66666666666666
2017,11,2017-03-13,41,98,2016,2017,2016-2017,115
2017,12,2017-03-20,39,81,2016,2017,2016-2017,82.33333333333333
2017,13,2017-03-27,11,68,2016,2017,2016-2017,71
2017,14,2017-04-03,3,64,2016,2017,2016-2017,56.666666666666664
2017,15,2017-04-10,3,38,2016,2017,2016-2017,47.666666666666664
2017,16,2017-04-17,3,41,2016,2017,2016-2017,42.666666666666664
2017,17,2017-04-24,0,49,2016,2017,2016-2017,42
2017,18,2017-05-01,2,36,2016,2017,2016-2017,40.333333333333336
2017,19,2017-05-08,1,36,2016,2017,2016-2017,40.333333333333336
2017,20,2017-05-15,0,49,2016,2017,2016-2017,NA
2017,40,2017-10-02,3,34,2017,2018,2017-2018,NA
2017,41,2017-10-09,42,36,2017,2018,2017-2018,30.666666666666668
