time,S,I,R
0,99999,1,0
1,99998.60362377533,1.0545039145569124,0.341872310101067
2,99998.186580162,1.1119768614282763,0.7014429765662148
3,99997.74774181908,1.1725802694511192,1.0796779114609216
4,99997.28591968813,1.236484388816057,1.4775959230431552
5,99996.79985931588,1.3038688146503128,1.896271869458379
6,99996.2882382024,1.3749228637393272,2.3368389338677926
7,99995.74966248253,1.4498460462299987,2.8004914712356905
8,99995.18266233272,1.5288487191816598,3.2884889480940087
9,99994.58568807352,1.612152640098046,3.802159286387082
10,99993.95710569553,1.6999916022945474,4.34290270217236
11,99993.29519251724,1.7926120511273456,4.912195431644991
12,99992.59813236471,1.8902737676830383,5.511593867611889
13,99991.86401044314,1.9932505957903344,6.1427389610757714
14,99991.09080803092,2.1018311936121163,6.807360775482972
15,99990.27639686757,2.216319828057774,7.507283304380296
16,99989.41853323345,2.3370372122081484,8.244429554358993
17,99988.51485172792,2.4643213846940335,9.020826887408397
18,99987.56285870931,2.5985286361161255,9.838612654581611
19,99986.55992538141,2.7400344845208555,10.700040134089699
20,99985.50328051405,2.8892347015219957,11.607484784451408
21,99984.39000277847,3.0465463917034854,12.563450829859235
22,99983.21701267522,3.2124091281910667,13.570578196619664
23,99981.98106403461,3.387286147065887,14.631649818358085
24,99980.67873506753,3.5716656034827934,15.749599329016398
25,99979.30641894392,3.7660618924807365,16.9275191636301
26,99977.86031387464,3.9710170375896743,18.168669087807164
27,99976.33641267172,4.187102150463688,19.47648517784229
28,99974.73049176084,4.414918964876321,20.85458927431025
29,99973.03809961792,4.655101448604302,22.306798933502026
30,99971.25454460128,4.908317496817689,23.83713790193499
31,99969.37488215028,5.17527071055437,25.44984713918931
32,99967.39390131792,5.4567022643145435,27.149396417784686
33,99965.30611060507,5.753392866675703,28.940496528262614
34,99963.10572306214,6.066164818080553,30.828112119807138
35,99960.78664062275,6.395884169963403,32.817475207310736
36,99958.34243763276,6.743462989572734,34.91409937768943
37,99955.76634353555,7.109861734943217,37.123794729531305
38,99953.05122467414,7.496091744538024,39.45268358134786
39,99950.18956516877,7.903217846164103,41.90721698509561
40,99947.1734468263,8.332361089936041,44.49419208377729
41,99943.9945280372,8.784701610040038,47.22077035277462
42,99940.64402161428,9.261481620045432,50.09449676568731
43,99937.11267152586,9.76400854662195,53.123319927551684
44,99933.3907284732,10.293658306562836,56.31561322026328
45,99929.46792426208,10.851878731934027,59.68019700600737
46,99925.33344491814,11.440193147885521,63.226361933980805
47,99920.97590249071,12.060204108031343,66.96389340126325
48,99916.3833054914,12.713597291801204,70.90309721681443
49,99911.54302791123,13.402145568169479,75.05482652060743
50,99906.44177676046,14.127713229776433,79.43051000977195
51,99901.06555807288,14.892260401269075,84.04218152586803
52,99895.39964131644,15.697847625306858,88.90251105827204
53,99889.4285221516,16.546640629197306,94.02483721922974
54,99883.1358834787,17.44091527456852,99.42320124677896
55,99876.50455471457,18.383062691966018,105.11238259350982
56,99869.51646924026,19.37559460142601,111.10793615836397
57,99862.15261996271,20.42114881917172,117.42623121816817
58,99854.39301293368,21.522494949674602,124.08449211669311
59,99846.21661897111,22.68254026112497,131.10084076780743
60,99837.60132323076,23.90433574103197,138.49434102825657
61,99828.52387267872,25.19108232716982,146.285044994164
62,99818.95982141937,26.5461373073729,154.49404127332684
63,99808.88347383757,27.973020879743377,163.1435052827595
64,99798.2678255198,29.475422862647047,172.25675161763644
65,99787.08450192495,31.057209541413176,181.85828853372206
66,99775.30369478374,32.72243063589604,191.97387458045324
67,99762.89409621415,34.475326369972905,202.63057741596174
68,99749.8228305511,36.32033462061634,213.85683482837578
69,99736.05538390014,38.2620981203579,225.68251797960482
70,99721.55553143902,40.305471682723656,238.138996878358
71,99706.28526250634,42.45552941553711,251.2592080782345
72,99690.20470353408,44.71757188181698,265.0777245842045
73,99673.2720389013,47.09713316231299,279.63082793650614
74,99655.44342980788,49.5999877674852,294.95658242474946
75,99636.67293129355,52.23215733990842,311.0949113666511
76,99616.91240755434,54.999917080637104,328.08767536513875
77,99596.1114457408,57.90980182496578,345.9787524343404
78,99574.21726845686,60.96861168423435,364.814119859014
79,99551.17464521625,64.18341716082911,384.64193762303205
80,99526.92580315642,67.56156363329636,405.5126332103979
81,99501.41033735593,71.11067509749824,427.47898754668336
82,99474.56512115261,74.83865703799071,450.59622180950714
83,99446.32421691535,78.75369829129156,474.9220847934709
84,99416.61878778308,82.86427174944288,500.5169404675935
85,99385.37701095034,87.17913373828333,527.4438553115035
