parameter_varied,scenario_value,beta,latent_period,infectious_period,peak_infectious,time_to_peak,final_size
beta,0.3218191425994282,0.3218191425994282,2,3,0.5809286953360786,6,25.28163382391631
beta,0.3620465354243567,0.3620465354243567,2,3,73.5836482596965,300,1611.950967626612
beta,0.4022739282492852,0.4022739282492852,2,3,936.2302170980258,224,30505.975103782344
beta,0.44250132107421375,0.44250132107421375,2,3,1995.4310144417068,159,44895.304052861495
beta,0.48272871389914224,0.48272871389914224,2,3,3219.6914902608096,125,54739.97364578045
latent_period,1,0.4022739282492852,1,3,1170.3883700333442,178,32100.40489644369
latent_period,2,0.4022739282492852,2,3,936.2302170980258,224,30505.975103782344
latent_period,3,0.4022739282492852,3,3,780.128301651256,270,23304.07367565979
latent_period,4,0.4022739282492852,4,3,643.5580221959335,300,12838.29061791391
latent_period,5,0.4022739282492852,5,3,366.52028838981215,300,6155.8732001196895
infectious_period,2,0.4022739282492852,2,2,0.44521638307256317,3,5.115696975234789
infectious_period,3,0.4022739282492852,2,3,936.2302170980258,224,30505.975103782344
infectious_period,4,0.4022739282492852,2,4,5509.9196822725535,118,64684.23931433142
infectious_period,5,0.4022739282492852,2,5,11024.444820839446,93,79988.87725483393
infectious_period,6,0.4022739282492852,2,6,16392.768434286758,82,88063.15042316444
